date,account_id,cloud_provider,environment,total_list_cost,total_net_cost,total_on_demand_cost,total_amortized_cost,total_projected_monthly_cost,total_budget_amount,avg_budget_utilization_pct,avg_cost_variance_7d_pct,avg_cost_variance_30d_pct,anomaly_count,row_count
2023-01-01,acct-007,GCP,prod,44.1031,31.5648,10.8687,26.6937,31.5648,152190.73,0.0002,-0.0277,0.2001,0,3
2023-01-01,acct-007,GCP,staging,9.4966,7.3051,4.9816,6.8088,7.3051,31399.69,0.0003,-0.1242,-0.1429,0,2
2023-01-01,acct-008,AWS,prod,13.9444,9.2047,3.547,7.7045,9.2047,111130.85,0.0001,-0.1766,0.195,0,2
2023-01-01,acct-008,AWS,staging,10.8612,8.0075,5.3158,7.3325,8.0075,29414.81,0.0003,0.0427,0.1045,0,2
2023-01-01,acct-008,Azure,dev,2.8407,2.098,1.6712,2.0231,2.098,18952.9,0.0001,0.2093,0.002,0,2
2023-01-01,acct-008,Azure,prod,38.3605,27.286,7.053,22.8804,27.286,159565.57,0.0002,-0.0125,0.0877,0,3
2023-01-01,acct-008,Azure,staging,2.0755,1.5845,0.3777,1.3005,1.5845,17305.19,0.0001,0.1584,0.3233,0,1
2023-01-01,acct-008,GCP,prod,34.5023,30.7003,13.5234,26.9776,30.7003,208293.4,0.0001,0.076,0.1671,0,4
2023-01-01,acct-008,GCP,staging,3.8236,2.3316,1.5925,2.1937,2.3316,13019.61,0.0002,0.0383,0.0718,0,1
2023-01-01,acct-009,AWS,prod,43.6998,34.9021,6.5473,29.5028,34.9021,245030.87,0.0001,0.0503,0.0084,0,5
2023-01-01,acct-009,AWS,staging,4.5343,2.7922,1.6971,2.5371,2.7922,12905.53,0.0002,-0.086,0.4933,0,1
2023-01-01,acct-009,Azure,prod,21.8771,16.201,6.6246,14.0319,16.201,205632.11,0.0001,0.2654,0.0801,0,4
2023-01-01,acct-009,GCP,dev,0.9684,0.8383,0.7019,0.8117,0.8383,7204.18,0.0001,0.0278,-0.3481,0,1
2023-01-01,acct-009,GCP,prod,32.0461,25.142,6.7317,21.1423,25.142,158908.66,0.0002,-0.068,0.15,0,3
2023-01-01,acct-009,GCP,staging,0.5657,0.4151,0.2371,0.3131,0.4151,15311.24,0.0,-0.246,0.0965,0,1
2023-01-01,acct-010,AWS,prod,22.755,18.3017,2.9183,15.5548,18.3017,152602.56,0.0001,0.013,0.1058,0,3
2023-01-01,acct-010,AWS,staging,8.8646,6.297,3.4457,5.5728,6.297,15315.67,0.0004,-0.2004,-0.3722,0,1
2023-01-01,acct-010,Azure,prod,13.8067,11.4755,0.8229,9.6792,11.4755,97042.94,0.0001,-0.0355,0.0904,0,2
2023-01-01,acct-010,Azure,staging,4.7535,3.3146,2.4417,3.2091,3.3146,12984.59,0.0003,0.1765,-0.3797,0,1
2023-01-01,acct-010,GCP,prod,24.7954,18.7133,7.1294,16.3581,18.7133,364715.26,0.0,0.0626,0.1898,0,7
2023-01-01,acct-010,GCP,staging,4.6669,2.9322,1.6181,2.6928,2.9322,13626.04,0.0002,-0.0767,-0.2316,0,1
2023-01-02,acct-001,AWS,prod,53.8397,42.5861,18.0856,37.4432,44.0058,210052.09,0.0002,-0.0219,0.2122,0,4
2023-01-02,acct-001,AWS,staging,10.7712,8.0984,5.2476,7.5681,8.3683,16333.4,0.0005,-0.221,-0.3104,0,1
2023-01-02,acct-001,Azure,dev,4.5484,3.0809,2.1519,2.2696,3.1836,7644.62,0.0004,0.0606,0.0586,0,1
2023-01-02,acct-001,Azure,prod,77.188,61.2401,25.8037,52.1825,63.2815,243420.82,0.0003,0.1404,-0.027,0,5
2023-01-02,acct-001,Azure,staging,2.8172,2.3326,0.4911,1.9623,2.4104,17968.28,0.0001,0.2154,-0.1867,0,1
2023-01-02,acct-001,GCP,prod,17.5257,12.3679,2.2297,9.9792,12.7802,115437.06,0.0001,0.0675,0.0948,0,2
2023-01-02,acct-001,GCP,staging,4.8945,4.2841,3.9291,4.2146,4.4269,15477.08,0.0003,0.017,-0.3927,0,1
2023-01-02,acct-002,AWS,prod,64.9822,48.309,15.1681,41.2535,49.9193,245697.84,0.0002,-0.0936,-0.1325,0,5
2023-01-02,acct-002,AWS,staging,4.2217,2.7988,2.5357,2.747,2.8921,17236.66,0.0002,0.0836,0.0951,0,1
2023-01-02,acct-002,Azure,dev,2.1393,1.3203,0.7561,1.22,1.3643,9177.22,0.0001,0.1863,-0.3064,0,1
2023-01-02,acct-002,Azure,prod,14.1577,11.8349,4.6203,10.363,12.2293,139949.77,0.0001,0.1723,0.0073,0,3
2023-01-02,acct-002,Azure,staging,7.7728,4.8063,4.038,4.6239,4.9666,13738.23,0.0004,0.3428,0.3935,0,1
2023-01-02,acct-002,GCP,dev,2.5209,2.3175,1.4817,2.1612,2.3947,8599.43,0.0003,0.2283,-0.1758,0,1
2023-01-02,acct-002,GCP,prod,28.3915,20.0078,2.0955,15.3698,20.6747,91245.02,0.0003,-0.199,-0.2487,0,2
2023-01-02,acct-002,GCP,staging,6.2777,5.3663,4.3898,5.2391,5.5451,15777.42,0.0004,-0.2038,0.0097,0,1
2023-01-02,acct-003,AWS,prod,27.7851,20.5256,7.6411,18.655,21.2098,149580.18,0.0001,0.0503,0.0304,0,3
2023-01-02,acct-003,Azure,dev,0.8984,0.5841,0.4221,0.5417,0.6036,6834.62,0.0001,0.1702,0.1288,0,1
2023-01-02,acct-003,Azure,prod,18.5839,12.3383,7.8212,11.2757,12.7495,108961.7,0.0002,-0.0243,-0.1305,0,2
2023-01-02,acct-003,Azure,staging,3.7262,3.4431,2.0196,3.2152,3.5579,16592.92,0.0002,0.0782,0.4083,0,1
2023-01-02,acct-003,GCP,dev,0.7904,0.4785,0.3533,0.4444,0.4945,7153.32,0.0001,0.004,0.4895,0,1
2023-01-02,acct-003,GCP,prod,63.4992,52.5849,24.3518,47.6237,54.3376,301320.8,0.0002,0.1182,0.1442,0,6
2023-01-02,acct-003,GCP,staging,6.1578,4.9476,1.2258,3.9622,5.1125,15242.83,0.0003,0.279,0.0286,0,1
2023-01-02,acct-004,AWS,prod,49.2977,38.2392,8.8251,33.8474,39.5138,219111.07,0.0002,-0.1176,0.1279,0,4
2023-01-02,acct-004,Azure,prod,27.1572,22.7338,3.9157,18.6155,23.4916,95266.42,0.0003,0.0657,0.2344,0,2
2023-01-02,acct-004,Azure,staging,20.1388,15.0146,6.0674,13.6455,15.5152,43773.99,0.0003,0.0908,-0.067,0,3
2023-01-02,acct-004,GCP,dev,1.5389,1.3795,1.0221,1.2925,1.4255,7643.13,0.0002,0.147,0.1962,0,1
2023-01-02,acct-004,GCP,prod,22.0045,13.638,7.3055,11.8691,14.0926,161057.32,0.0001,0.1072,0.095,0,3
2023-01-02,acct-004,GCP,staging,15.66,13.2466,3.49,11.7282,13.6882,31966.8,0.0004,0.0999,0.1277,0,2
2023-01-02,acct-005,AWS,dev,6.7525,4.8042,3.2174,4.5746,4.9644,18659.62,0.0003,0.2791,-0.162,0,2
2023-01-02,acct-005,AWS,prod,53.7332,45.8334,9.9183,40.1433,47.3611,161973.47,0.0003,-0.0172,0.1629,0,3
2023-01-02,acct-005,Azure,dev,1.5059,1.405,1.0457,1.2989,1.4518,8152.21,0.0002,0.055,0.429,0,1
2023-01-02,acct-005,Azure,prod,14.4422,11.4851,5.5154,10.3021,11.8679,115848.23,0.0001,0.1601,0.0798,0,2
2023-01-02,acct-005,Azure,staging,10.4094,9.1653,4.974,8.2469,9.4708,42452.3,0.0002,0.0779,0.1287,0,3
2023-01-02,acct-005,GCP,prod,33.6726,26.7907,9.7567,23.1572,27.6837,108077.82,0.0003,0.2313,0.1638,0,2
2023-01-02,acct-005,GCP,staging,12.4686,8.5569,3.5218,7.865,8.8422,29680.96,0.0003,0.0077,-0.1863,0,2
2023-01-02,acct-006,AWS,dev,3.8602,2.771,1.991,2.6354,2.8634,9460.86,0.0003,0.121,0.0274,0,1
2023-01-02,acct-006,AWS,prod,30.5338,19.0652,6.1288,16.1656,19.7008,153403.67,0.0001,-0.0362,0.0989,0,3
2023-01-02,acct-006,Azure,prod,57.4789,46.9512,21.0182,40.6596,48.5163,256163.65,0.0002,0.0185,0.1719,0,5
2023-01-02,acct-006,Azure,staging,8.134,5.1197,2.345,4.5758,5.2904,15586.25,0.0003,-0.0803,0.4202,0,1
2023-01-02,acct-006,GCP,dev,2.8657,2.5656,1.917,2.4054,2.6511,9030.96,0.0003,0.2597,-0.1345,0,1
2023-01-02,acct-006,GCP,prod,5.3278,3.4281,0.2198,2.42,3.5424,108884.2,0.0001,0.018,-0.0835,0,2
2023-01-02,acct-006,GCP,staging,18.7302,14.8663,4.8611,11.2195,15.3619,28847.82,0.0005,-0.2119,0.2759,0,2
2023-01-02,acct-007,AWS,prod,42.4066,34.889,8.7638,28.6139,36.052,211481.57,0.0002,0.0933,0.2052,0,4
2023-01-02,acct-007,AWS,staging,19.4137,15.415,7.9717,13.903,15.9288,44313.22,0.0004,0.0255,0.0436,0,3
2023-01-02,acct-007,Azure,prod,64.2975,49.546,17.9708,43.5098,51.1975,332046.14,0.0001,0.1213,-0.0733,0,6
2023-01-02,acct-007,GCP,prod,2.5725,1.5811,1.1245,1.4777,1.6338,42825.85,0.0,0.1817,0.1956,0,1
2023-01-02,acct-007,GCP,staging,2.8045,2.2432,0.5565,1.8686,2.318,16785.53,0.0001,-0.0397,0.3242,0,1
2023-01-02,acct-008,AWS,dev,2.4463,1.8443,1.4266,1.7832,1.9058,16553.05,0.0001,0.2208,0.1824,0,2
2023-01-02,acct-008,AWS,prod,27.8357,25.5031,7.0287,21.8846,26.3532,91165.32,0.0003,0.093,-0.2255,0,2
2023-01-02,acct-008,AWS,staging,7.1044,4.3139,1.8869,3.9106,4.4577,15429.83,0.0003,0.2148,0.0022,0,1
2023-01-02,acct-008,Azure,dev,11.6918,8.5701,7.3307,8.3319,8.8557,16191.43,0.0005,0.0629,0.0158,0,2
2023-01-02,acct-008,Azure,prod,56.787,45.2808,18.7434,39.957,46.7902,146198.45,0.0003,0.0697,0.1905,0,3
2023-01-02,acct-008,Azure,staging,11.0432,9.4291,2.5308,7.801,9.7434,15433.45,0.0006,-0.0113,0.2752,0,1
2023-01-02,acct-008,GCP,prod,26.6213,20.7519,9.7883,18.9442,21.4437,156625.41,0.0002,-0.1021,0.1344,0,3
2023-01-02,acct-008,GCP,staging,5.3417,4.648,4.2652,4.5842,4.8029,14154.23,0.0003,0.1368,-0.1559,0,1
2023-01-02,acct-009,AWS,prod,101.8428,80.0947,26.3082,69.0164,82.7647,299054.0,0.0003,0.0929,0.1051,0,6
2023-01-02,acct-009,AWS,staging,11.9446,8.9291,3.6755,7.8952,9.2268,30159.77,0.0003,0.1758,-0.0728,0,2
2023-01-02,acct-009,Azure,dev,4.22,3.0978,2.3236,2.9072,3.2011,9136.48,0.0004,-0.2032,-0.2057,0,1
2023-01-02,acct-009,Azure,prod,23.1678,17.4571,5.4416,15.4435,18.039,102033.76,0.0002,0.078,0.0552,0,2
2023-01-02,acct-009,Azure,staging,10.9678,8.8463,7.3909,8.6421,9.1412,16209.18,0.0006,-0.2237,0.444,0,1
2023-01-02,acct-009,GCP,prod,34.102,26.9051,9.2589,23.5629,27.802,156414.35,0.0002,-0.0385,-0.0182,0,3
2023-01-02,acct-010,AWS,prod,61.2558,47.6737,6.817,39.1692,49.2628,294429.19,0.0002,0.0625,0.0159,0,6
2023-01-02,acct-010,AWS,staging,5.2216,4.7441,1.9932,4.072,4.9023,16567.17,0.0003,0.2093,0.3921,0,1
2023-01-02,acct-010,Azure,prod,51.4261,39.7091,9.3353,33.2144,41.0326,210412.06,0.0002,0.117,-0.1233,0,4
2023-01-02,acct-010,GCP,dev,1.7883,1.2529,0.749,0.995,1.2947,8171.81,0.0002,0.1966,-0.3835,0,1
2023-01-02,acct-010,GCP,prod,40.4014,31.987,12.4977,27.0242,33.0534,162630.39,0.0002,0.2407,-0.0231,0,3
2023-01-03,acct-001,AWS,prod,79.8178,62.6028,26.2049,56.0557,66.9201,297042.38,0.0002,0.0887,0.0393,0,6
2023-01-03,acct-001,AWS,staging,6.3502,4.1315,3.0205,3.968,4.4164,17384.19,0.0003,-0.1073,0.13,0,1
2023-01-03,acct-001,Azure,dev,10.3154,7.7171,5.2322,7.1942,8.2493,25724.7,0.0003,0.0077,0.1217,0,3
2023-01-03,acct-001,Azure,prod,11.8604,7.9991,1.2715,6.8471,8.5508,52631.91,0.0002,0.3089,-0.3162,0,1
2023-01-03,acct-001,Azure,staging,20.2212,15.1475,10.5731,14.4993,16.1922,30578.11,0.0006,0.0666,-0.0868,0,2
2023-01-03,acct-001,GCP,prod,7.7829,5.9044,2.5563,5.0244,6.3116,99106.21,0.0001,0.033,0.3434,0,2
2023-01-03,acct-002,AWS,dev,2.6133,1.7818,1.2698,1.7217,1.9047,8923.78,0.0002,0.1333,-0.2111,0,1
2023-01-03,acct-002,AWS,prod,75.2195,54.1459,29.2631,47.8237,57.8801,250605.32,0.0002,0.1453,0.0239,0,5
2023-01-03,acct-002,Azure,dev,4.6568,2.9939,2.4691,2.8683,3.2003,8702.76,0.0004,0.3011,0.443,0,1
2023-01-03,acct-002,Azure,prod,17.947,13.6292,3.0374,11.6395,14.5691,43863.15,0.0003,0.3085,0.1168,0,1
2023-01-03,acct-002,Azure,staging,8.2078,5.0003,2.1186,4.3926,5.3451,13441.93,0.0004,0.2377,0.4277,0,1
2023-01-03,acct-002,GCP,dev,3.2178,1.9669,1.5756,1.9235,2.1025,9540.35,0.0002,-0.1842,-0.146,0,1
2023-01-03,acct-002,GCP,prod,28.8062,25.4252,11.1397,22.3403,27.1787,261407.72,0.0001,-0.0254,0.1706,0,5
2023-01-03,acct-003,AWS,prod,3.2657,2.147,1.4079,1.9684,2.295,44614.04,0.0001,0.1605,0.0913,0,1
2023-01-03,acct-003,AWS,staging,7.5189,4.7529,1.6624,3.9199,5.0807,26954.44,0.0002,-0.0823,0.4436,0,2
2023-01-03,acct-003,Azure,dev,2.1224,1.2764,1.1533,1.2538,1.3645,7298.2,0.0002,-0.2084,0.4815,0,1
2023-01-03,acct-003,Azure,prod,21.0689,14.4329,8.7443,13.6725,15.4283,102720.91,0.0002,-0.0184,0.0757,0,2
2023-01-03,acct-003,GCP,dev,2.0193,1.6102,0.9981,1.4447,1.7212,8999.07,0.0002,0.0741,-0.397,0,1
2023-01-03,acct-003,GCP,prod,54.4763,43.7257,21.1091,39.609,46.7412,257061.87,0.0002,0.1087,0.1677,0,5
2023-01-03,acct-003,GCP,staging,17.0928,15.2319,7.9241,13.75,16.2825,39338.21,0.0004,0.0602,0.1437,0,3
2023-01-03,acct-004,AWS,dev,15.7547,12.4403,9.2304,10.129,13.2983,21621.04,0.0006,0.2035,-0.1138,0,3
2023-01-03,acct-004,AWS,prod,62.6886,49.1253,25.6791,44.6055,52.5133,239125.54,0.0002,0.1265,0.0933,0,5
2023-01-03,acct-004,AWS,staging,8.3277,7.3974,1.6801,6.6648,7.9075,16135.52,0.0005,-0.079,-0.0088,0,1
2023-01-03,acct-004,Azure,prod,26.9107,23.4318,18.9597,22.3956,25.0478,96240.78,0.0003,0.0637,0.1656,0,2
2023-01-03,acct-004,Azure,staging,0.6126,0.4835,0.2414,0.4306,0.5168,17876.21,0.0,0.0283,-0.2752,0,1
2023-01-03,acct-004,GCP,prod,6.9153,4.88,1.6624,4.1041,5.2165,46125.06,0.0001,0.1608,0.1584,0,1
2023-01-03,acct-004,GCP,staging,13.454,10.4831,5.8407,7.9429,11.2061,32408.69,0.0003,-0.0503,0.0835,0,2
2023-01-03,acct-005,AWS,prod,15.8456,11.4738,2.4038,9.2715,12.2651,97512.24,0.0001,0.1683,-0.1005,0,2
2023-01-03,acct-005,AWS,staging,4.6648,4.2294,4.1174,3.8217,4.5211,16270.65,0.0003,-0.2324,-0.269,0,1
2023-01-03,acct-005,Azure,dev,1.1466,0.8587,0.6579,0.8176,0.9179,7374.44,0.0001,0.1743,0.199,0,1
2023-01-03,acct-005,Azure,staging,16.6337,12.8816,7.5723,9.8012,13.77,47113.56,0.0003,0.1041,0.1314,0,3
2023-01-03,acct-005,GCP,dev,1.5321,0.9845,0.9043,0.8709,1.0524,7974.64,0.0001,0.2973,-0.0796,0,1
2023-01-03,acct-005,GCP,prod,43.0844,36.5198,14.7774,31.6725,39.0384,208617.08,0.0002,0.211,0.0117,0,4
2023-01-03,acct-005,GCP,staging,9.6471,6.3131,2.1394,5.2618,6.7485,42769.46,0.0002,0.0872,-0.0223,0,3
2023-01-03,acct-006,AWS,prod,35.3913,26.1871,8.5692,22.5088,27.9932,211444.63,0.0002,0.1154,0.272,0,4
2023-01-03,acct-006,Azure,prod,48.7859,37.4612,16.7136,32.341,40.0447,201455.34,0.0002,0.0336,0.0611,0,4
2023-01-03,acct-006,Azure,staging,16.5547,12.4065,4.1815,10.8559,13.2621,28129.83,0.0004,-0.0462,0.2821,0,2
2023-01-03,acct-006,GCP,prod,37.6593,31.1024,15.3244,28.0838,33.2474,202097.21,0.0002,-0.0767,0.2132,0,4
2023-01-03,acct-006,GCP,staging,6.7108,5.456,1.6402,4.3724,5.8322,15988.93,0.0004,-0.0383,0.48,0,1
2023-01-03,acct-007,AWS,dev,8.3423,5.1523,3.4913,4.7467,5.5077,9276.78,0.0006,-0.1072,-0.29,0,1
2023-01-03,acct-007,AWS,prod,42.299,31.8841,7.0324,26.8661,34.0832,137675.38,0.0003,-0.1138,0.2898,0,3
2023-01-03,acct-007,AWS,staging,12.0272,8.4273,4.8533,7.9344,9.0084,46577.49,0.0002,0.0576,0.3172,0,3
2023-01-03,acct-007,Azure,prod,49.2485,38.2634,13.3821,32.7466,40.9023,214340.03,0.0002,0.0465,-0.0747,0,4
2023-01-03,acct-007,Azure,staging,2.8157,1.8744,0.5775,1.5988,2.0037,30081.0,0.0001,0.2495,0.133,0,2
2023-01-03,acct-007,GCP,prod,16.0369,13.5331,8.9852,12.6311,14.4664,96355.51,0.0002,-0.0088,0.3174,0,2
2023-01-03,acct-008,AWS,dev,1.5941,1.1205,1.0501,1.1047,1.1978,9396.18,0.0001,-0.2255,-0.0791,0,1
2023-01-03,acct-008,AWS,prod,79.272,63.7075,32.2112,56.8683,68.101,157425.39,0.0004,0.0219,0.2926,0,3
2023-01-03,acct-008,AWS,staging,17.9003,13.6808,3.5443,11.4613,14.6243,30108.81,0.0005,0.0209,0.2895,0,2
2023-01-03,acct-008,Azure,prod,10.4455,7.4594,2.3935,6.312,7.9738,99990.59,0.0001,-0.069,-0.2543,0,2
2023-01-03,acct-008,GCP,prod,19.0701,16.4989,9.3418,15.2631,17.6368,149273.34,0.0001,0.0415,0.0223,0,3
2023-01-03,acct-008,GCP,staging,23.7682,18.8728,12.5131,17.3145,20.1744,60599.48,0.0004,-0.1328,-0.034,0,4
2023-01-03,acct-009,AWS,prod,58.7091,45.5088,24.0447,40.7838,48.6474,336628.92,0.0002,0.1219,-0.0781,0,6
2023-01-03,acct-009,Azure,prod,25.1422,17.7969,2.9475,13.3569,19.0243,106667.55,0.0002,-0.0459,0.0498,0,2
2023-01-03,acct-009,GCP,dev,8.6558,6.2863,4.1759,5.7553,6.7199,16348.88,0.0004,0.0749,0.0716,0,2
2023-01-03,acct-009,GCP,prod,58.0487,43.6245,13.6422,37.596,46.6331,261665.44,0.0002,-0.042,0.2567,0,5
2023-01-03,acct-010,AWS,prod,32.5939,25.299,4.2134,20.994,27.0436,140001.71,0.0002,-0.0191,-0.1121,0,3
2023-01-03,acct-010,AWS,staging,4.1115,3.1532,1.7515,2.3514,3.3706,17957.74,0.0002,0.1658,0.0796,0,1
2023-01-03,acct-010,Azure,prod,40.9583,29.4079,11.6014,26.0262,31.4361,242717.15,0.0001,0.1292,0.0414,0,5
2023-01-03,acct-010,Azure,staging,7.2158,6.0654,4.5455,5.777,6.4837,30187.73,0.0003,-0.0294,0.1977,0,2
2023-01-03,acct-010,GCP,dev,6.1523,4.4384,2.6077,3.1767,4.7445,7565.25,0.0006,-0.0995,0.212,0,1
2023-01-03,acct-010,GCP,prod,18.3662,14.9954,3.5214,13.2056,16.0296,104799.04,0.0002,-0.0338,0.0551,0,2
2023-01-03,acct-010,GCP,staging,11.9427,7.3442,3.4458,5.2855,7.8506,12847.99,0.0006,0.145,0.0787,0,1
2023-01-04,acct-001,AWS,prod,36.9172,29.7553,15.5784,26.9279,32.9434,88171.82,0.0003,0.0857,0.0572,0,2
2023-01-04,acct-001,AWS,staging,7.8726,5.7658,3.492,5.2413,6.3836,33408.1,0.0002,-0.0675,-0.1007,0,2
2023-01-04,acct-001,Azure,prod,62.6632,41.8874,11.634,35.7855,46.3753,216067.75,0.0002,0.049,-0.1811,0,4
2023-01-04,acct-001,Azure,staging,4.4543,4.052,3.8186,4.0188,4.4862,15824.85,0.0003,0.2093,-0.3605,0,1
